,ticker,optionType,strike,expirationDate,volume,impliedVolatility,lastPrice,change,percentChange,delta,gamma,theta,vega,rho,moneyness,intrinsic_value,openInterest
196,QBTS,Put,15.5,2025-09-19T00:00:00.000,52,0.6562534375000001,1.07,0,0,0,0.2111429094658473,0,0.011409626437087338,0,0.9809677370132939,0.2950000762939453,1091
262,QBTS,Put,14,2025-09-26T00:00:00.000,88,0.6601596484375001,0.6,0,0,0,0.13959769048859783,0,0.011674470287197775,0,1.0860714231218611,0,618
312,QBTS,Put,14,2025-10-03T00:00:00.000,38,0.6601596484375001,0.81,0,0,0,0.12449377041428543,0,0.014055307111818136,0,1.0860714231218611,0,171
192,QBTS,Put,13.5,2025-09-19T00:00:00.000,33,0.6640658593750002,0.33,0,0,0,0.12405591005011729,0,0.006783470559939791,0,1.126296290644893,0,2199
194,QBTS,Put,14.5,2025-09-19T00:00:00.000,342,0.6699251757812501,0.65,0,0,0,0.18754322734395634,0,0.010345488841951871,0,1.048620684393521,0,1080
315,QBTS,Put,15.5,2025-10-03T00:00:00.000,43,0.6796907031250001,1.56,0,0,0,0.14192943878319841,0,0.016497857931534993,0,0.9809677370132939,0.2950000762939453,254
413,QBTS,Put,17,2025-10-17T00:00:00.000,31,0.6826203613281252,2.78,0,0,0,0.10772839001535871,0,0.019097356028579447,0,0.8944117602180032,1.7950000762939453,3369
117,QBTS,Put,13.5,2025-09-12T00:00:00.000,67,0.6835969140625001,0.13,0,0,0,0.11104796382039654,0,0.0028849741343502182,0,1.126296290644893,0,861
193,QBTS,Put,14,2025-09-19T00:00:00.000,342,0.6914093359375001,0.44,0,0,0,0.15639709682500083,0,0.00890404321069208,0,1.0860714231218611,0,4185
411,QBTS,Put,15,2025-10-17T00:00:00.000,216,0.6953155468750001,1.51,0,0,0,0.11048913694721751,0,0.019951031677120454,0,1.0136666615804037,0,2699
191,QBTS,Put,13,2025-09-19T00:00:00.000,1241,0.7070341796875,0.18,0,0,0,0.089848666563924,0,0.005230887474963934,0,1.1696153787466197,0,3569
197,QBTS,Put,16,2025-09-19T00:00:00.000,50,0.7070341796875,1.45,0,0,0,0.18772288106150556,0,0.010929013249296777,0,0.9503124952316284,0.7950000762939453,3598
264,QBTS,Put,15,2025-09-26T00:00:00.000,41,0.709963837890625,1.04,0,0,0,0.15539667321195813,0,0.013976161848391908,0,1.0136666615804037,0,494
416,QBTS,Put,20,2025-10-17T00:00:00.000,20,0.7128934960937501,4.85,0,0,0,0.06600798315852442,0,0.012220386808283917,0,0.7602499961853028,4.795000076293945,445
259,QBTS,Put,12.5,2025-09-26T00:00:00.000,33,0.7148466015625,0.3,0,0,0,0.07022724162958424,0,0.006359580123086391,0,1.2163999938964845,0,3685
412,QBTS,Put,16,2025-10-17T00:00:00.000,53,0.72070591796875,2.09,0,0,0,0.10834437471340977,0,0.020278148193350734,0,0.9503124952316284,0.7950000762939453,2443
258,QBTS,Put,12,2025-09-26T00:00:00.000,46,0.7304714453125,0.14,0,0,0,0.051117839494301945,0,0.004730267591583654,0,1.2670833269755046,0,406
506,QBTS,Put,24,2026-01-16T00:00:00.000,40,0.7314479980468749,9.95,0,0,0,0.04383766624127764,0,0.026809257913213532,0,0.6335416634877523,8.795000076293945,109
409,QBTS,Put,13,2025-10-17T00:00:00.000,391,0.73437765625,0.65,0,0,0,0.07877088369537225,0,0.015022735101378264,0,1.1696153787466197,0,3267
313,QBTS,Put,14.5,2025-10-03T00:00:00.000,22,0.7382838671874999,1.04,0,0,0,0.12283584484364432,0,0.015509301542364892,0,1.048620684393521,0,120
406,QBTS,Put,10,2025-10-17T00:00:00.000,122,0.7421900781249999,0.11,0,0,0,0.01987558028855798,0,0.003830882206300913,0,1.5204999923706055,0,1928
408,QBTS,Put,12,2025-10-17T00:00:00.000,28,0.7421900781249999,0.41,0,0,0,0.05797481866110347,0,0.011174249908577481,0,1.2670833269755046,0,1735
503,QBTS,Put,21,2026-01-16T00:00:00.000,30,0.75195560546875,7.45,0,0,0,0.05229315982555597,0,0.032876910353651756,0,0.7240476154145741,5.795000076293945,125
500,QBTS,Put,18,2026-01-16T00:00:00.000,262,0.7690452783203126,4.87,0,0,0,0.05643599062907698,0,0.03628791153395465,0,0.8447222179836698,2.7950000762939453,6192
501,QBTS,Put,19,2026-01-16T00:00:00.000,45,0.7709983837890625,5.8,0,0,0,0.05526546484394091,0,0.0356255195190794,0,0.800263153879266,3.7950000762939453,613
407,QBTS,Put,11,2025-10-17T00:00:00.000,88,0.7753928710937501,0.22,0,0,0,0.03826795562695548,0,0.0077058562366891445,0,1.382272720336914,0,1951
260,QBTS,Put,13,2025-09-26T00:00:00.000,27,0.78711150390625,0.31,0,0,0,0.09031057921801768,0,0.009005023765156647,0,1.1696153787466197,0,258
494,QBTS,Put,12,2026-01-16T00:00:00.000,50,0.79687703125,1.38,0,0,0,0.040899932855957465,0,0.027250082128751744,0,1.2670833269755046,0,2199
502,QBTS,Put,20,2026-01-16T00:00:00.000,228,0.79883013671875,6.53,0,0,0,0.05220934322696743,0,0.03487037212707185,0,0.7602499961853028,4.795000076293945,2006
291,QBTS,Call,16,2025-10-03T00:00:00.000,41,0.8095722167968749,1.01,0,0,0.45702621094499535,0.11846856994090735,-0.02523964734413463,0.016402214451583436,0.004382905648582016,0.9503124952316284,0,216
90,QBTS,Call,16.5,2025-09-12T00:00:00.000,34,0.8105487695312499,0.33,0.060000002,22.222221,0.2332383083702736,0.19366894047282862,-0.040662805605290085,0.005965822915428114,0.0005493281161652268,0.921515146891276,0,1581
497,QBTS,Put,15,2026-01-16T00:00:00.000,66,0.815431533203125,2.94,0,0,0,0.051114325890454664,0,0.034848496909401276,0,1.0136666615804037,0,2265
236,QBTS,Call,16,2025-09-26T00:00:00.000,118,0.8212908496093749,0.96,0.18,23.076923,0.43739805757578265,0.13479281298712362,-0.029430090820839683,0.014024057917520925,0.0031775735785503846,0.9503124952316284,0,2285
549,QBTS,Put,17,2026-04-17T00:00:00.000,21,0.8261736132812498,4.8,0,0,0,0.03991878662600712,0,0.046583647986664076,0,0.8944117602180032,1.7950000762939453,215
491,QBTS,Put,9,2026-01-16T00:00:00.000,20,0.8320329296874999,0.47,0,0,0,0.02173611377239779,0,0.015120854166371262,0,1.6894444359673395,0,1309
542,QBTS,Put,10,2026-04-17T00:00:00.000,34,0.8344743115234373,1.27,0,0,0,0.024250800875760207,0,0.028584059071892036,0,1.5204999923706055,0,368
586,QBTS,Put,20,2027-01-15T00:00:00.000,26,0.8359391406249999,9.02,0,0,0,0.026018351497752053,0,0.06833073520889997,0,0.7602499961853028,4.795000076293945,1577
152,QBTS,Call,16,2025-09-19T00:00:00.000,365,0.8378922460937499,0.66,0,0,0.4074068152727145,0.16143499056095426,-0.036502448933442205,0.011138050343458314,0.001976883791367789,0.9503124952316284,0,1968
237,QBTS,Call,16.5,2025-09-26T00:00:00.000,85,0.8398453515625,0.7,0,0,0.379681379325722,0.12734465254055394,-0.029001367475903636,0.013548462430386493,0.002774172467277314,0.921515146891276,0,383
295,QBTS,Call,18,2025-10-03T00:00:00.000,39,0.8437515624999999,0.54,0,0,0.271692210065689,0.09505620439641782,-0.021827650357589632,0.013716357731604414,0.002671661565602727,0.8447222179836698,0,333
150,QBTS,Call,15,2025-09-19T00:00:00.000,123,0.851563984375,1.09,0,0,0.5689427776527974,0.16081652840761398,-0.037762298618285686,0.011276421486227164,0.0026950403806351984,1.0136666615804037,0.2049999237060547,1354
114,QBTS,Put,12,2025-09-12T00:00:00.000,50,0.851563984375,0.03,0,0,0,0.020051564473685207,0,0.0006489283964751047,0,1.2670833269755046,0,169
309,QBTS,Put,12.5,2025-10-03T00:00:00.000,44,0.851563984375,0.31,0,0,0,0.0704700232170847,0,0.010262790043952976,0,1.2163999938964845,0,205
490,QBTS,Put,8,2026-01-16T00:00:00.000,30,0.851563984375,0.29,0,0,0,0.015693136610589138,0,0.011173286940989511,0,1.9006249904632568,0,2046
154,QBTS,Call,17,2025-09-19T00:00:00.000,384,0.8535170898437501,0.38,0,0,0.2731285502218991,0.1357783119358996,-0.031739545786840934,0.009542583279934416,0.001344049923717405,0.8944117602180032,0,3596
88,QBTS,Call,15.5,2025-09-12T00:00:00.000,391,0.85937640625,0.57,0,0,0.45488051193405316,0.2366037162582491,-0.056038539870177415,0.0077274502616177755,0.001047954363957304,0.9809677370132939,0,1253
92,QBTS,Call,17.5,2025-09-12T00:00:00.000,248,0.85937640625,0.13,0,0,0.11222250800203082,0.11385759543715046,-0.026807923229011182,0.003718576020537481,0.0002661786323051963,0.8688571384974888,0,1714
371,QBTS,Call,14,2025-10-17T00:00:00.000,34,0.85937640625,2.3,0,0,0.6723020893983758,0.08246062628460532,-0.02014665890482026,0.018403223138646736,0.008812056720569254,1.0860714231218611,1.2049999237060547,1499
372,QBTS,Call,15,2025-10-17T00:00:00.000,250,0.867188828125,1.8,0,0,0.5821842330516299,0.08835198846998947,-0.021806327345539684,0.019897285860856925,0.007831055184973687,1.0136666615804037,0.2049999237060547,6244
581,QBTS,Put,7,2027-01-15T00:00:00.000,125,0.8710950390625,1.2,0,0,0,0.010738402877944002,0,0.02938778748485108,0,2.1721428462437222,0,5073
91,QBTS,Call,17,2025-09-12T00:00:00.000,785,0.87500125,0.17,0,0,0.17548058925238474,0.15138131782277192,-0.036981819639450464,0.005033988111478764,0.00041340583381247446,0.8944117602180032,0,2672
234,QBTS,Call,15,2025-09-26T00:00:00.000,51,0.87695435546875,1.27,0,0,0.5712046112102132,0.12577261278108612,-0.03143624943377827,0.013972465571623365,0.0040160654229879685,1.0136666615804037,0.2049999237060547,397
376,QBTS,Call,19,2025-10-17T00:00:00.000,72,0.877930908203125,0.65,0,0,0.27596985363485194,0.07471012330084785,-0.018624434594336107,0.01703348957229381,0.00397261746604053,0.800263153879266,0,2257
151,QBTS,Call,15.5,2025-09-19T00:00:00.000,101,0.88476677734375,0.82,0,0,0.49080098746006123,0.1570920171885646,-0.0396661771327837,0.011444748555926493,0.0023409094648392725,0.9809677370132939,0,642
294,QBTS,Call,17.5,2025-10-03T00:00:00.000,43,0.8886729882812499,0.63,0,0,0.32688803378989506,0.09816623901806298,-0.025021047646998314,0.014919280404878587,0.0031625528621217146,0.8688571384974888,0,154
157,QBTS,Call,18.5,2025-09-19T00:00:00.000,359,0.8945323046874999,0.18,0,0,0.1425290370034753,0.08776937890248473,-0.022460993265221517,0.006464908560728696,0.0007098586816875731,0.8218918877678949,0,1059
488,QBTS,Put,6,2026-01-16T00:00:00.000,70,0.8984385156249999,0.13,0,0,0,0.006339220380870388,0,0.004761876449718041,0,2.5341666539510093,0,1761
290,QBTS,Call,15.5,2025-10-03T00:00:00.000,62,0.8994150683593749,1.23,0,0,0.5222710246028219,0.10709041505782006,-0.028156024545869223,0.01647230994215495,0.0048601185263659604,0.9809677370132939,0,236
492,QBTS,Put,10,2026-01-16T00:00:00.000,23,0.8994150683593749,0.7,0,0,0,0.02730973716854715,0,0.02053674407617088,0,1.5204999923706055,0,8719
373,QBTS,Call,16,2025-10-17T00:00:00.000,213,0.9003916210937499,1.34,0,0,0.49875929380338296,0.08694499808647768,-0.022986965981140074,0.02033011727983004,0.006803060624033007,0.9503124952316284,0,4432
570,QBTS,Call,25,2027-01-15T00:00:00.000,50,0.9003916210937499,3.7,0,0,0.540954459066438,0.02486573451015421,-0.006830300971125338,0.07033870914842327,0.055302515972159204,0.6081999969482422,0,3750
238,QBTS,Call,17,2025-09-26T00:00:00.000,24,0.9003916210937499,0.57,0,0,0.33956018169889324,0.11427885840826728,-0.02983605837465832,0.013034888302963558,0.002473989249775115,0.8944117602180032,0,578
239,QBTS,Call,17.5,2025-09-26T00:00:00.000,221,0.903321279296875,0.49,0,0,0.29159680481699324,0.1067406374856583,-0.028012279379079272,0.012214677612412031,0.002139169307359659,0.8688571384974888,0,431
404,QBTS,Put,8,2025-10-17T00:00:00.000,31,0.9062509375,0.02,0,0,0,0.006407221404646534,0,0.0015079329711606792,0,1.9006249904632568,0,4738
155,QBTS,Call,17.5,2025-09-19T00:00:00.000,98,0.9101571484375,0.35,0,0,0.2344614334655747,0.11751287555568875,-0.03118415370451875,0.0088069426954966,0.0011522264123652618,0.8688571384974888,0,1626
530,QBTS,Call,17,2026-04-17T00:00:00.000,39,0.9101571484375,3.53,0,0,0.5921983138638813,0.03589152817052029,-0.009991133389227446,0.0461416560457579,0.0320537103145434,0.8944117602180032,0,481
533,QBTS,Call,20,2026-04-17T00:00:00.000,52,0.91211025390625,3,0,0,0.5025026942199051,0.036801181364099246,-0.010209393943591535,0.04741261854415584,0.02860451812185104,0.7602499961853028,0,148
459,QBTS,Call,20,2026-01-16T00:00:00.000,22,0.913086806640625,1.85,0.05000007,2.7777817,0.4214057632790019,0.04685245096134797,-0.012862323275097075,0.03576829953180982,0.01621213809738359,0.7602499961853028,0,9031
158,QBTS,Call,19,2025-09-19T00:00:00.000,144,0.914063359375,0.15,0,0,0.11562773500155799,0.0742888157992744,-0.019834964146643798,0.005591432267604163,0.0005770914485419075,0.800263153879266,0,2654
462,QBTS,Call,23,2026-01-16T00:00:00.000,20,0.914063359375,1.3,0,0,0.32572231097981474,0.043101323276330566,-0.011798231844520621,0.03293978920587692,0.012978471136327703,0.6610869532046111,0,620
454,QBTS,Call,15,2026-01-16T00:00:00.000,73,0.9145516357421876,3.25,0,0,0.6277781365564059,0.04523774664349764,-0.012649573033262784,0.034590999110963645,0.021995224861567336,1.0136666615804037,0.2049999237060547,7886
564,QBTS,Call,10,2027-01-15T00:00:00.000,1623,0.9196785375976562,8,0,0,0.8358658636234124,0.015176157250247823,-0.00454511165161275,0.043848983097691106,0.05950673666961979,1.5204999923706055,5.204999923706055,5514
451,QBTS,Call,12,2026-01-16T00:00:00.000,21,0.9213875048828125,4.64,0,0,0.7674179742094853,0.03626650417067238,-0.010489575643682829,0.02793842531749944,0.024379546320963202,1.2670833269755046,3.2049999237060547,3294
377,QBTS,Call,20,2025-10-17T00:00:00.000,317,0.92187578125,0.5,0,0,0.23633678198463687,0.06561736414330051,-0.017992991242032696,0.01570923452255553,0.0034036246268307683,0.7602499961853028,0,8742
565,QBTS,Call,12,2027-01-15T00:00:00.000,39,0.9223640576171875,7.05,0,0,0.7905469796894065,0.017601380126671017,-0.005234124301271727,0.05100476489594897,0.060969389517216935,1.2670833269755046,3.2049999237060547,2669
460,QBTS,Call,21,2026-01-16T00:00:00.000,42,0.9238288867187501,1.65,0,0,0.390739674062251,0.045444667063820346,-0.012742514599651809,0.035101718192426454,0.0151532162932018,0.7240476154145741,0,856
378,QBTS,Call,21,2025-10-17T00:00:00.000,626,0.9326178613281251,0.39,0,0,0.19423990942999453,0.057873948338914856,-0.016216861076893848,0.014016858135524873,0.002818172827000257,0.7240476154145741,0,3267
85,QBTS,Call,14,2025-09-12T00:00:00.000,469,0.9335944140625,1.48,0,0,0.7749162130077822,0.1648209284073977,-0.04662724155505912,0.005847925499047263,0.001695980085536397,1.0860714231218611,1.2049999237060547,502
244,QBTS,Call,20,2025-09-26T00:00:00.000,65,0.9335944140625,0.17,0,0,0.1281912801131167,0.06304793234082863,-0.017595862479573062,0.0074565694773664004,0.0009616672461377275,0.7602499961853028,0,631
458,QBTS,Call,19,2026-01-16T00:00:00.000,176,0.9340826904296875,1.99,0,0,0.4641263501131138,0.04651973104991329,-0.013382579332674895,0.036330922947470305,0.017424039821187412,0.800263153879266,0,1929
457,QBTS,Call,18,2026-01-16T00:00:00.000,56,0.9355475195312499,2.19,0,0,0.5028239733056018,0.04663439830082056,-0.013489124080852177,0.03647759025186988,0.018559606185444753,0.8447222179836698,0,4929
86,QBTS,Call,14.5,2025-09-12T00:00:00.000,43,0.9355475195312499,1.09,0,0,0.6776926329793782,0.19666583585149597,-0.05552041889445216,0.0069923958183441505,0.001509146298771295,1.048620684393521,0.7049999237060547,506
456,QBTS,Call,17,2026-01-16T00:00:00.000,26,0.938477177734375,2.55,0,0,0.5438325286918352,0.04620909119871068,-0.013485610645204434,0.03625810099648831,0.01968264762684281,0.8944117602180032,0,3384
455,QBTS,Call,16,2026-01-16T00:00:00.000,55,0.9428716650390624,2.85,0,0,0.5867281545901737,0.045175496739232573,-0.013348172337916105,0.03561307158141258,0.02075773591220897,0.9503124952316284,0,3049
289,QBTS,Call,15,2025-10-03T00:00:00.000,222,0.945313046875,1.38,0,0,0.5764645688760112,0.10016961283437349,-0.0291264790471812,0.016194046851140353,0.005248186442373258,1.0136666615804037,0.2049999237060547,666
94,QBTS,Call,18.5,2025-09-12T00:00:00.000,94,0.945313046875,0.07,0,0,0.06029092480007432,0.06488568256008487,-0.01845872580497466,0.0023310723872665144,0.00014317444629837885,0.8218918877678949,0,1177
461,QBTS,Call,22,2026-01-16T00:00:00.000,38,0.945313046875,1.44,0,0,0.3668731273425475,0.04355957261278685,-0.012759734723888522,0.0344281093158718,0.014254484444166944,0.691136360168457,0,3726
540,QBTS,Call,30,2026-04-17T00:00:00.000,862,0.948242705078125,1.5,0,0,0.30386638840250657,0.0310300216694631,-0.00917264203415408,0.041561042470937934,0.018750351672727216,0.5068333307902019,0,891
242,QBTS,Call,19,2025-09-26T00:00:00.000,20,0.9511723632812499,0.28,0,0,0.1895495137940667,0.08003981434549881,-0.02321458501469376,0.009644401270779628,0.0014043257089669048,0.800263153879266,0,318
299,QBTS,Call,20,2025-10-03T00:00:00.000,45,0.95507857421875,0.3,0,0,0.1803693603447653,0.06652144569766351,-0.019479980232392856,0.010865370145327473,0.001773838734172561,0.7602499961853028,0,193
567,QBTS,Call,17,2027-01-15T00:00:00.000,121,0.9558109887695312,5.53,0,0,0.6934796376131505,0.020721314886457124,-0.0064742440878667075,0.062223005739543896,0.059388358893900844,0.8944117602180032,0,5357
464,QBTS,Call,25,2026-01-16T00:00:00.000,81,0.9570316796874999,1.08,0,0,0.29078527068707116,0.039165947354876676,-0.011711779260538199,0.03133926893081655,0.01158030078479003,0.6081999969482422,0,2649
149,QBTS,Call,14.5,2025-09-19T00:00:00.000,49,0.9570316796874999,1.25,0,0,0.6409696624512282,0.13610218825245635,-0.04038613910643862,0.010725431026487285,0.002947736212781119,1.048620684393521,0.7049999237060547,3139
578,QBTS,Put,3,2027-01-15T00:00:00.000,43,0.9570316796874999,0.21,0,0,0,0.0028101290597451942,0,0.008449173664875192,0,5.0683333079020185,0,1672
453,QBTS,Call,14,2026-01-16T00:00:00.000,27,0.9594730615234374,3.5,0,0,0.6760447820979297,0.04096994807880782,-0.012628545196156703,0.0328663980516024,0.022561696975435027,1.0860714231218611,1.2049999237060547,1630
452,QBTS,Call,13,2026-01-16T00:00:00.000,71,0.9624027197265624,4.14,0,0,0.7207538441227218,0.03820252930169929,-0.011911774484909215,0.030739929737461744,0.023286158207796327,1.1696153787466197,2.2049999237060547,765
566,QBTS,Call,15,2027-01-15T00:00:00.000,30,0.9648441015625,6.12,0,0,0.7332807653713432,0.01921561630429642,-0.006144515158498033,0.058246940853199834,0.05942966320038519,1.0136666615804037,0.2049999237060547,6853
380,QBTS,Call,23,2025-10-17T00:00:00.000,24,0.9648441015625,0.27,0,0,0.13473682172545343,0.04409875791691071,-0.013193866312076055,0.011049619939805988,0.001972621905914655,0.6610869532046111,0,1017
449,QBTS,Call,10,2026-01-16T00:00:00.000,64,0.9726565234375,6.05,0,0,0.8493364864783131,0.026293148480187392,-0.008605039623422343,0.021382378313791597,0.023994935653963184,1.5204999923706055,5.204999923706055,9748
235,QBTS,Call,15.5,2025-09-26T00:00:00.000,137,0.97460962890625,1.1,0,0,0.5157336051536887,0.1149175764923631,-0.035290498944135384,0.014188194458758135,0.0036031080169271843,0.9809677370132939,0,5220
287,QBTS,Call,14,2025-10-03T00:00:00.000,57,0.975586181640625,2.02,0,0,0.6754440761915441,0.08915965152361019,-0.027754979815406488,0.014875711497131542,0.005939381520567431,1.0860714231218611,1.2049999237060547,101
95,QBTS,Call,19,2025-09-12T00:00:00.000,140,0.9765627343750001,0.05,0,0,0.04347486255843764,0.04842413689444528,-0.01469444662511319,0.0017971869930470403,0.00010334688625476006,0.800263153879266,0,576
381,QBTS,Call,24,2025-10-17T00:00:00.000,44,0.9785158398437501,0.23,0,0,0.11236058826926743,0.03828625570811684,-0.011771020282935092,0.00972914313366692,0.0016514495950829438,0.6335416634877523,0,648
474,QBTS,Call,35,2026-01-16T00:00:00.000,20,0.991211025390625,0.5,0,0,0.14088284097681247,0.024662678167363398,-0.007852522428798794,0.020439029531718736,0.005890847398807788,0.4344285692487444,0,4653
382,QBTS,Call,25,2025-10-17T00:00:00.000,422,0.9960937890625,0.21,0,0,0.09525300402154868,0.03336204569581863,-0.010620337626412912,0.008630118159176766,0.0014033719553389573,0.6081999969482422,0,19866
162,QBTS,Call,21,2025-09-19T00:00:00.000,40,0.99804689453125,0.15,0,0,0.05341910153940006,0.037956176317021764,-0.012056268212632523,0.0031192970571733737,0.00026781242815129987,0.7240476154145741,0,2663
160,QBTS,Call,20,2025-09-19T00:00:00.000,159,1.0039112304687499,0.09,0,0,0.08938931819493179,0.05608615083211582,-0.018038608600243932,0.004636329364470493,0.00044468898649317913,0.7602499961853028,0,3731
250,QBTS,Call,23,2025-09-26T00:00:00.000,30,1.0078174609375,0.12,0,0,0.05185880752660217,0.02959999349190854,-0.00960004619580657,0.0037790572379683574,0.00039273260019846045,0.6610869532046111,0,129
164,QBTS,Call,22,2025-09-19T00:00:00.000,102,1.0312548437500002,0.07,0,0,0.03644622938049044,0.02699259992020638,-0.00914764852115538,0.002292102588310537,0.00018308398666556997,0.691136360168457,0,1954
577,QBTS,Put,2,2027-01-15T00:00:00.000,30,1.05078599609375,0.11,0,0,0,0.0014765356524570358,0,0.004874385473227237,0,7.602499961853027,0,3461
383,QBTS,Call,26,2025-10-17T00:00:00.000,50,1.052739111328125,0.17,0,0,0.0915400497218482,0.030653241646651584,-0.010889595208185771,0.008380327747652322,0.0013396160626299996,0.5848076893733098,0,1145
385,QBTS,Call,28,2025-10-17T00:00:00.000,26,1.0625046875000002,0.17,0,0,0.06376126890736347,0.023069753510893475,-0.00833991101420145,0.0063655750951217,0.0009409206805640402,0.5430357115609306,0,831
486,QBTS,Put,4,2026-01-16T00:00:00.000,201,1.0703171484375003,0.04,0,0,0,0.002186338670288001,0,0.0019565179259824106,0,3.8012499809265137,0,12599
387,QBTS,Call,30,2025-10-17T00:00:00.000,79,1.111332568359375,0.1,0,0,0.051952053944769074,0.01877467789177757,-0.007418318944798695,0.0054185161664995676,0.0007656005840271334,0.5068333307902019,0,1286
368,QBTS,Call,11,2025-10-17T00:00:00.000,28,1.1376996240234376,4.5,0,0,0.8534712764472003,0.03959036318675848,-0.017127502139068714,0.011697173649763516,0.009208521132044152,1.382272720336914,4.204999923706055,889
167,QBTS,Call,24,2025-09-19T00:00:00.000,37,1.140629296875,0.02,0,0,0.022423717330086634,0.01629572134474195,-0.0067490568569026676,0.0015305285820227089,0.00011236303043800248,0.6335416634877523,0,846
369,QBTS,Call,12,2025-10-17T00:00:00.000,140,1.1533245458984376,3.65,0,0,0.7931194777404085,0.04860481124812719,-0.02134818933931817,0.014557762601017208,0.0089461289640684,1.2670833269755046,3.2049999237060547,5681
146,QBTS,Call,13,2025-09-19T00:00:00.000,88,1.162113564453125,2.38,0,0,0.7968801107718491,0.08473568822549173,-0.03727987660376155,0.008108457860099116,0.0033727381370032583,1.1696153787466197,2.2049999237060547,279
100,QBTS,Call,21.5,2025-09-12T00:00:00.000,40,1.1875040625,0.03,0,0,0.014084968358183875,0.01549611180321382,-0.0069428580567382076,0.0006993411376566988,0.00003340655959854395,0.7072092987770258,0,184
168,QBTS,Call,25,2025-09-19T00:00:00.000,102,1.1953165234375,0.02,0,0,0.01852654524110814,0.01322713604185833,-0.006013756593081107,0.0013018833589963897,0.00009267529505485785,0.6081999969482422,0,2441
84,QBTS,Call,13.5,2025-09-12T00:00:00.000,272,1.205082099609375,1.7,0,0,0.8026934981445786,0.11819946582884278,-0.05548166933623292,0.005413316003333403,0.0016788763150237967,1.126296290644893,1.7049999237060547,308
402,QBTS,Put,6,2025-10-17T00:00:00.000,104,1.2343788281249999,0.03,0,0,0,0.0030368219907070766,0,0.0009734903183085829,0,2.5341666539510093,0,1389
392,QBTS,Call,35,2025-10-17T00:00:00.000,70,1.2382850585937497,0.07,0,0,0.03668241238157847,0.012725210166284133,-0.006231880043793824,0.004092130105919597,0.0005364758491130184,0.4344285692487444,0,1485
169,QBTS,Call,26,2025-09-19T00:00:00.000,100,1.2500037499999999,0.05,0,0,0.015773083110797646,0.011023439759561401,-0.005479167161281953,0.001134623518714439,0.00007874760877580011,0.5848076893733098,0,1024
103,QBTS,Call,23,2025-09-12T00:00:00.000,133,1.2968785156249998,0.03,0,0,0.008153575207843582,0.008816075688071886,-0.004708828034594428,0.00043451606337755627,0.000019310210787848466,0.6610869532046111,0,144
171,QBTS,Call,28,2025-09-19T00:00:00.000,50,1.3437532812499997,0.05,0,0,0.011445202101436186,0.007774104481712465,-0.004463224769825713,0.0008601877299613822,0.00005697944410111792,0.5430357115609306,0,254
